year,stock,capture,effort
2020,Panulirus interruptus,1856692,5393
2020,Paralabrax nebulifer,3120637,3900
2020,Prionace glauca,3304472,5535
2020,Scomberomorus sierra,3082609,2333483
2020,Scomberomorus sierra2,3755383,4388810
2020,Sphyrna lewini,868579,4558
2020,Squatina californica,733439,4059
2021,Callinectes bellicosus,20502283,29256
2021,Carcharhinus falciformis,4008801,1483
2021,Carcharhinus leucas,574735,6862
2021,Centropomus robalito,996327,13900
2021,Gerreidae,89559,15148
2021,Gerreidae2,1497759,2362
2021,Hoplopagrus guntheri,126860,2666
2021,Lutjanus guttatus,155080,2963
2021,Megapitaria squalida,580506,1631
2021,Panulirus interruptus,1893635,5341
2021,Paralabrax nebulifer,3064522,4460
2021,Prionace glauca,3389294,5130
2021,Scomberomorus sierra,2857031,2355845
2021,Scomberomorus sierra2,4145789,5842002
2021,Sphyrna lewini,1027675,3121
2021,Squatina californica,830742,4571
